,1,1,12,1,1,10,1,1,8,1,1,6,1,1,4,1,1,2,1,2,,
,,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,3,2,1,0,2
,,,,,,,,,,,,,,,,,,6,4,2,,1
,,,,,,,,,,,,,,,,,,9,6,,,2
,,,,,,,,,,,,,,,,88,64,24,16,,,1
,,,,,,,,,,,,,,,,121,88,33,22,,,
,,,,,,,,,,,,,,,,,,,1,0,1,
,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,1,1,0,,
,,,,,,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,,12,9,3,3,,,
,,,,,,,,,,,,,,,28,16,12,4,4,,,1
,,,,,,,,,,,,,,,49,28,21,,,,,4
,,,,,,,,,,,,,,,224,128,,,,,,
,,,,,,,,,,,,,,,,4,1,,,,,
,,,,,,,,,,,,,,,13,9,4,,,,,
,,,,,,,,,,,,,,85,18,13,5,,,,,
,,,,,,,,,,,,,,401,85,61,,,,,,
,,,,,,,,,,,,,67,54,13,2,,,,,,
,,,,,,,,,,,,,276,222,54,6,,,,,,
,,,,,,,,,,,,67,36,31,5,,,,,,,
,,,,,,,,,,2933,2544,389,210,179,31,,,,,,,1
,,,,,,,,,,3438,2982,456,246,,,,,,,,,1
,,,,,,,,,,6371,5526,,,,,,,,,,,6
,,,,,,,,,,41664,36138,,,,,,,,,,,
,,,,,,,,,,,,54,31,23,,,,,,,,
,,,,,,,,,,829,720,109,66,43,,,,,,,,
,,,,,,,,,,1238,1075,163,97,,,,,,,,,
,,,,,,,,32963,3862,2067,1795,,,,,,,,,,,
,,,,,,,243005,217520,25485,13640,11845,,,,,,,,,,,1
,,,,,,,279830,250483,29347,,,,,,,,,,,,,1
,,,,,,,522835,468003,,,,,,,,,,,,,,8
,,,,,,,4462510,3994507,,,,,,,,,,,,,,
,,,,,,,,2658,311,170,141,,,,,,,,,,,
,,,,,,,12867,11520,1347,744,603,,,,,,,,,,,
,,,,,,,15836,14178,1658,,,,,,,,,,,,,
,,,,,,,28703,25698,,,,,,,,,,,,,,
,,,,,,,245460,219762,,,,,,,,,,,,,,1
,,,,,,,274163,245460,,,,,,,,,,,,,,
,,,,,,,6181,5439,,,,,,,,,,,,,,
,,,,,874440,83021,44230,38791,,,,,,,,,,,,,,
,,,,,996821,94641,50411,44230,,,,,,,,,,,,,,1
,,,,,1871261,177662,,,,,,,,,,,,,,,,10
,,,,,19709431,1871261,,,,,,,,,,,,,,,,
,,,,,525480,50117,24310,25807,,,,,,,,,,,,,,
,,,,,486288,46418,22108,24310,,,,,,,,,,,,,,
,,,,,1011768,96535,,,,,,,,,,,,,,,,
,,,,,10603968,1011768,,,,,,,,,,,,,,,,
,,,1800113,940620,859493,81127,,,,,,,,,,,,,,,,
,,238809984,19070419,9964956,9105463,859493,,,,,,,,,,,,,,,,1
,,261351960,20870532,10905576,,,,,,,,,,,,,,,,,,
,,,319958,167683,152275,15408,,,,,,,,,,,,,,,,
82033685,42591485,39442200,3149285,1650780,1498505,152275,,,,,,,,,,,,,,,,
90368001,46918622,43449379,3469243,1818463,,,,,,,,,,,,,,,,,,1
172401686,89510107,,,,,,,,,,,,,,,,,,,,,12
2159188233,1121039906,,,,,,,,,,,,,,,,,,,,,1
2331589919,1210550013,,,,,,,,,,,,,,,,,,,,,
4488277,2331493,2156784,174709,,,,,,,,,,,,,,,,,,,
1366446,710760,655686,55074,,,,,,,,,,,,,,,,,,,
5854723,3042253,,,,,,,,,,,,,,,,,,,,,
71623122,37217796,,,,,,,,,,,,,,,,,,,,,
77477845,40260049,,,,,,,,,,,,,,,,,,,,,1
149100967,77477845,,,,,,,,,,,,,,,,,,,,,
10494573,4506026,,,,,,,,,,,,,,,,,,,,,
7254569,2748543,,,,,,,,,,,,,,,,,,,,,
17749142,7254569,,,,,,,,,,,,,,,,,,,,,
