,1,6,1,1,4,1,1,2,1,2,,,
,,,,,,,,,2,1,0,,
,,,,,,,,-1,-1,0,-1,1,
,,,,,,,5,2,1,1,,2,
,,,,,,,7,3,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,1,0,1,,
,,,,,,,,0,0,0,0,,
,,,,,,,3,1,1,0,,,
,,,,,,,6,2,2,,,2,
,,,,160,35,20,15,5,,,,2,
,,,,384,84,48,36,12,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,2,1,,,,,
,,,,,,,1,1,,,,,
,,,,51,11,7,4,3,,,,,
,,,141,116,25,16,9,7,,,,2,
,,,344,283,61,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,7,2,,,,,,,,
,,,45,36,9,,,,,,,,
,,,99,79,20,,,,,,,2,
,,437,243,194,,,,,,,,2,
,,1052,585,467,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,6,8,,,,,,,,,
,,,47,46,,,,,,,,,
,,200,100,100,,,,,,,,,
3698,3205,493,247,246,,,,,,,,2,
8896,7710,1186,594,,,,,,,,,,
,,,,,,,,,,,,,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,37,43,,,,,,,,,,
553,487,66,91,,,,,,,,,,
1408,1239,169,225,,,,,,,,,2,
3369,2965,,,,,,,,,,,2,6
8146,7169,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
380,283,,,,,,,,,,,,
448,276,,,,,,,,,,,,
1276,835,,,,,,,,,,,,2
3000,1946,,,,,,,,,,,,
