,7,5,3,1,,,
,,,,1,0,,
,,8,2,2,0,2,
,,20,5,5,0,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,0,0,,
,,7,2,1,1,,
,74,14,4,2,2,2,
,185,35,10,,,,
,,,,,,,1
,,,,,,,
,,,,,,,
,,1,0,,,,
,31,6,1,,,,
,67,13,2,,,4,
,299,58,,,,,2
,,,,,,,
,,,,,,,
,,,,,,,
,12,2,,,,,
366,51,9,,,,,
1550,216,38,,,,2,1
3466,483,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
116,16,4,,,,,
601,83,20,,,,,2
1318,182,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
348,50,,,,,,1
830,119,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
253,33,,,,,,1
488,63,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
95,17,,,,,,1
342,56,,,,,,
