,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,
,,,,,,,,,,,,,,,,,,4,2,0,2,
,,,,,,,,,,,,,,,,,8,3,2,-1,3,1
,,,,,,,,,,,,,,,,5,2,1,0,,,3
,,,,,,,,,,,,,,,10,4,2,0,,,,1
,,,,,,,,,,,,,,5,2,1,0,,,,,4
,,,,,,,,,,,,,10,4,2,0,,,,,,1
,,,,,,,,,,,,5,2,1,0,,,,,,,4
,,,,,,,,,,,10,4,2,0,,,,,,,,1
,,,,,,,,,,5,2,1,0,,,,,,,,,4
,,,,,,,,,10,4,2,0,,,,,,,,,,1
,,,,,,,,5,2,1,0,,,,,,,,,,,4
,,,,,,,10,4,2,0,,,,,,,,,,,,1
,,,,,,5,2,1,0,,,,,,,,,,,,,4
,,,,,10,4,2,0,,,,,,,,,,,,,,1
,,,,5,2,1,0,,,,,,,,,,,,,,,4
,,,10,4,2,0,,,,,,,,,,,,,,,,1
,,5,2,1,0,,,,,,,,,,,,,,,,,4
,10,4,2,0,,,,,,,,,,,,,,,,,,1
5,2,1,0,,,,,,,,,,,,,,,,,,,4
4,2,0,,,,,,,,,,,,,,,,,,,,1
1,0,,,,,,,,,,,,,,,,,,,,,4
