,20,1,1,18,1,1,16,1,1,14,1,1,12,1,1,10,1,1,8,1,1,6,1,1,4,1,1,2,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,4,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,0,1,5
,,,,,,,,,,,,,,,,,,,,,,,,14,3,2,1,1,,,,2
,,,,,,,,,,,,,,,,,,,,,,,5,4,1,0,1,,,,,3
,,,,,,,,,,,,,,,,,,,,,26,4,2,2,0,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,7,1,1,0,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,6,5,1,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,2,2,0,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,26,3,2,1,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,9,8,1,0,1,,,,,,,,,,,3
,,,,,,,,,,,,,,,42,4,2,2,0,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,11,1,1,0,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,10,9,1,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,2,2,0,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,38,3,2,1,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,13,12,1,0,1,,,,,,,,,,,,,,,,,3
,,,,,,,,,58,4,2,2,0,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,15,1,1,0,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,14,13,1,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,50,3,2,1,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,17,16,1,0,1,,,,,,,,,,,,,,,,,,,,,,,3
,,,74,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,19,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,18,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
62,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
